model,execution_type,db_path,table,sql_query,question,result
gemini-2.5-pro,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Habitat` ASC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Habitat` in ascending order.","[['Pinguino imperatore', 'Uccello', 'Antartide', 20, 30.0], ['Orso polare', 'Mammifero', 'Artico', 25, 450.0], ['Cavalluccio marino', 'Pesce', 'Barriere coralline', 4, 0.05], ['Canguro rosso', 'Mammifero', 'Deserti australiani', 23, 85.0], ['Falco pellegrino', 'Uccello', 'Falesie e aree urbane', 15, 1.0]]"
gemini-2.5-pro,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Habitat` DESC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Habitat` in descending order.","[['Foca monaca', 'Mammifero', 'Zone costiere', 30, 300.0], ['Elefante africano', 'Mammifero', 'Savane africane', 70, 6000.0], ['Rinoceronte bianco', 'Mammifero', 'Savane africane', 50, 2400.0], ['Leone', 'Mammifero', 'Savane', 14, 190.0], ['Giraffa', 'Mammifero', 'Savane', 25, 1200.0]]"
gemini-2.5-pro,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Peso medio (kg)` ASC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Peso medio (kg)` in ascending order.","[['Cavalluccio marino', 'Pesce', 'Barriere coralline', 4, 0.05], ['Camaleonte pantera', 'Rettile', 'Foreste del Madagascar', 5, 0.2], ['Falco pellegrino', 'Uccello', 'Falesie e aree urbane', 15, 1.0], ['Pappagallo ara', 'Uccello', 'Foreste pluviali', 50, 1.2], ['Aquila reale', 'Uccello', 'Montagne', 25, 6.0]]"
gemini-2.5-pro,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Peso medio (kg)` DESC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Peso medio (kg)` in descending order.","[['Balena azzurra', 'Mammifero', 'Oceani', 90, 140000.0], ['Elefante africano', 'Mammifero', 'Savane africane', 70, 6000.0], ['Rinoceronte bianco', 'Mammifero', 'Savane africane', 50, 2400.0], ['Ippopotamo', 'Mammifero', 'Fiumi africani', 40, 1500.0], ['Giraffa', 'Mammifero', 'Savane', 25, 1200.0]]"
gemini-2.5-pro,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Durata vita media` ASC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Durata vita media` in ascending order.","[['Cavalluccio marino', 'Pesce', 'Barriere coralline', 4, 0.05], ['Camaleonte pantera', 'Rettile', 'Foreste del Madagascar', 5, 0.2], ['Pantera nera', 'Mammifero', 'Foreste tropicali', 12, 90.0], ['Lupo grigio', 'Mammifero', 'Foreste e tundra', 13, 45.0], ['Leone', 'Mammifero', 'Savane', 14, 190.0]]"
gemini-2.5-pro,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Durata vita media` DESC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Durata vita media` in descending order.","[['Tartaruga gigante', 'Rettile', 'Isole Galápagos', 100, 250.0], ['Balena azzurra', 'Mammifero', 'Oceani', 90, 140000.0], ['Elefante africano', 'Mammifero', 'Savane africane', 70, 6000.0], ['Coccodrillo del Nilo', 'Rettile', 'Fiumi e laghi', 70, 500.0], ['Squalo bianco', 'Pesce', 'Oceani', 70, 1100.0]]"
gemini-2.5-pro,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Nome` ASC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Nome` in ascending order.","[['Albatros urlatore', 'Uccello', 'Oceani', 50, 11.0], ['Aquila reale', 'Uccello', 'Montagne', 25, 6.0], ['Balena azzurra', 'Mammifero', 'Oceani', 90, 140000.0], ['Camaleonte pantera', 'Rettile', 'Foreste del Madagascar', 5, 0.2], ['Canguro rosso', 'Mammifero', 'Deserti australiani', 23, 85.0]]"
gemini-2.5-pro,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Nome` DESC LIMIT 5,"List the top 5 rows from the table `dataset_animali`, sorted by the column `Nome` in descending order.","[['Tigre del Bengala', 'Mammifero', 'Foreste', 15, 220.0], ['Tartaruga gigante', 'Rettile', 'Isole Galápagos', 100, 250.0], ['Squalo bianco', 'Pesce', 'Oceani', 70, 1100.0], ['Rinoceronte bianco', 'Mammifero', 'Savane africane', 50, 2400.0], ['Pitone reticolato', 'Rettile', 'Foreste tropicali', 20, 75.0]]"
gemini-2.5-pro,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Nome` + `Classe` + `Peso medio (kg)` ASC LIMIT 5,"Compute the sum of the columns Nome, Classe, Peso medio (kg) for each row in `dataset_animali`. Sort all rows in ascending order by this sum and return the first 5 rows.","[['Pappagallo ara', 'Uccello', 'Foreste pluviali', 50, 1.2], ['Cavalluccio marino', 'Pesce', 'Barriere coralline', 4, 0.05], ['Aquila reale', 'Uccello', 'Montagne', 25, 6.0], ['Cobra reale', 'Rettile', 'Foreste tropicali', 20, 6.0], ['Falco pellegrino', 'Uccello', 'Falesie e aree urbane', 15, 1.0]]"
gemini-2.5-pro,NORMAL,data/db_categorical_simple.sqlite,dataset_animali,SELECT * FROM `dataset_animali` ORDER BY `Nome` + `Classe` + `Peso medio (kg)` DESC LIMIT 5,"Compute the sum of the columns Nome, Classe, Peso medio (kg) for each row in `dataset_animali`. Sort all rows in descending order by this sum and return the first 5 rows.","[['Balena azzurra', 'Mammifero', 140000.0], ['Elefante africano', 'Mammifero', 6000.0], ['Rinoceronte bianco', 'Mammifero', 2400.0], ['Ippopotamo', 'Mammifero', 1500.0], ['Giraffa', 'Mammifero', 1200.0]]"
